asset,inner_window,zscore_lookback,forward_days,n_orders,spearman_r,spearman_p,n
SPY,5,252,10,4,-0.18675115103401277,2.1969452239933435e-48,6021
SPY,5,252,20,3,-0.1581753551166845,5.609936808955639e-35,6011
SPY,5,252,20,4,-0.18822694462062145,4.650311136384008e-49,6011
SPY,10,60,2,3,-0.056959182161671514,7.006241841359204e-06,6216
SPY,10,60,2,4,-0.05874291467513063,3.5787580547801407e-06,6216
SPY,10,60,3,3,-0.07825296633454686,6.519604333896048e-10,6215
SPY,10,60,3,4,-0.0749094497727753,3.3669359170969004e-09,6215
SPY,10,60,5,3,-0.09240843519017666,2.9202143119173655e-13,6213
SPY,10,60,5,4,-0.09035996139016346,9.638473317161278e-13,6213
SPY,10,60,10,3,-0.08987316393013892,1.3017962881454063e-12,6208
SPY,10,60,10,4,-0.09423643283278499,1.0065812119953486e-13,6208
SPY,10,60,20,3,-0.09125415329202208,6.120416517032704e-13,6198
SPY,10,60,20,4,-0.09359385520761099,1.5461903714887142e-13,6198
SPY,10,120,2,3,-0.0975455081149079,1.7175401949304712e-14,6156
SPY,10,120,2,4,-0.10091336973748224,2.082364592208761e-15,6156
SPY,10,120,3,3,-0.1343377537535318,3.491130525932997e-26,6155
SPY,10,120,3,4,-0.13053821530999882,8.392348438881506e-25,6155
SPY,10,120,5,3,-0.15340012120416927,1.0292490209099242e-33,6153
SPY,10,120,5,4,-0.1501004970818715,2.460144940332258e-32,6153
SPY,10,120,10,3,-0.15091686071706045,1.1967160337804849e-32,6148
SPY,10,120,10,4,-0.15320262146544414,1.323916929978823e-33,6148
SPY,10,120,20,3,-0.15574114359634972,1.2480574575988666e-34,6138
SPY,10,120,20,4,-0.15419542655224738,5.682540897007552e-34,6138
SPY,10,252,2,3,-0.1343531227823331,1.1483099585713376e-25,6024
SPY,10,252,2,4,-0.13278016357130948,4.212395382892137e-25,6024
SPY,10,252,3,3,-0.1837003599835656,7.303828815453936e-47,6023
SPY,10,252,3,4,-0.1792020807257396,1.205607743616245e-44,6023
SPY,10,252,5,3,-0.2152133604767078,4.9495621315733955e-64,6021
SPY,10,252,5,4,-0.21352878637972958,4.868679339711928e-63,6021
SPY,10,252,10,3,-0.22305002971605464,1.0453499261361775e-68,6016
SPY,10,252,10,4,-0.2264764747610352,7.837323406734837e-71,6016
SPY,10,252,20,3,-0.2358161937676601,1.1075117902279806e-76,6006
SPY,10,252,20,4,-0.2275375736725395,2.211225687985921e-71,6006
SPY,20,60,2,3,-0.059264856468592274,2.9836368292603146e-06,6206
SPY,20,60,2,4,-0.05746674211518237,5.899584678642069e-06,6206
SPY,20,60,3,3,-0.08094420777964659,1.71042264883613e-10,6205
SPY,20,60,3,4,-0.08105585273393263,1.614389915480291e-10,6205
SPY,20,60,5,3,-0.08978647952769704,1.3965672146158567e-12,6203
SPY,20,60,5,4,-0.09249924789134384,2.8917281723005747e-13,6203
SPY,20,60,10,3,-0.06979979912749898,3.781654520778094e-08,6198
SPY,20,60,10,4,-0.08530854405199775,1.731626396368921e-11,6198
SPY,20,60,20,3,-0.062323274293144736,9.277859423062414e-07,6188
SPY,20,60,20,4,-0.061954184851924325,1.0757230237003411e-06,6188
SPY,20,120,2,3,-0.09229131243595685,4.1889033200801085e-13,6146
SPY,20,120,2,4,-0.07657811699836335,1.8431699519413587e-09,6146
SPY,20,120,3,3,-0.12621463762640794,3.0304961637946185e-23,6145
SPY,20,120,3,4,-0.10435437030719424,2.3823909554421243e-16,6145
SPY,20,120,5,3,-0.14252143781162543,3.0559167114796563e-29,6143
SPY,20,120,5,4,-0.1231690670118646,3.371066063801129e-22,6143
SPY,20,120,10,3,-0.1315703968212192,4.147487113829689e-25,6138
SPY,20,120,10,4,-0.11709551588396662,3.458264603773419e-20,6138
SPY,20,120,20,3,-0.1209630007165854,2.056054874806167e-21,6128
SPY,20,120,20,4,-0.0952916385802925,7.716306918176155e-14,6128
SPY,20,252,2,3,-0.12609592770582226,9.616998351073694e-23,6014
SPY,20,252,2,4,-0.1053244966245393,2.6340541400379303e-16,6014
SPY,20,252,3,3,-0.16956345051123564,5.032174404979279e-40,6013
SPY,20,252,3,4,-0.14445593152995995,2.1056834945816872e-29,6013
SPY,20,252,5,3,-0.1963693982266184,2.54740105274321e-53,6011
SPY,20,252,5,4,-0.1690785818202908,8.635761558098605e-40,6011
SPY,20,252,10,3,-0.19640296230637586,2.697874306694284e-53,6006
SPY,20,252,10,4,-0.16872764953502806,1.3426322965341052e-39,6006
SPY,20,252,20,3,-0.18690147723317269,2.8795594441322365e-48,5996
SPY,20,252,20,4,-0.1499199471363854,1.762082460527466e-31,5996
SPY,40,60,2,3,-0.03669169973028321,0.0038988438297685897,6186
SPY,40,60,2,4,-0.04200618210755782,0.0009510372633884958,6186
SPY,40,60,3,3,-0.05277963207751128,3.282915683701552e-05,6185
SPY,40,60,3,4,-0.060855724296881054,1.6723376722661434e-06,6185
SPY,40,60,5,3,-0.06375365803858919,5.243768024575088e-07,6183
SPY,40,60,5,4,-0.06500692259932107,3.1207302872350154e-07,6183
SPY,40,60,10,3,-0.06589938489354459,2.1683229925837204e-07,6178
SPY,40,60,10,4,-0.05917392916249211,3.2520434849489286e-06,6178
SPY,40,60,20,3,-0.07064496853456492,2.791541952227185e-08,6168
SPY,40,60,20,4,-0.04885685280683864,0.00012375471404739866,6168
SPY,40,120,2,3,-0.04258519106402164,0.0008563048570956248,6126
SPY,40,120,2,4,-0.030597421875303153,0.01662514868486734,6126
SPY,40,120,3,3,-0.06354882377055297,6.441131371474434e-07,6125
SPY,40,120,3,4,-0.0437798856877942,0.0006097007645038505,6125
SPY,40,120,5,3,-0.08052197685506612,2.7944418442427335e-10,6123
SPY,40,120,5,4,-0.04605349200353375,0.00031234022711973907,6123
SPY,40,120,10,3,-0.08533810647701302,2.2969728605004285e-11,6118
